CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031400000000000TF0F;09/01/2024;15;0,52;R
ES0031400000000000TF0F;09/01/2024;16;0,418;R
ES0031400000000000TF0F;09/01/2024;17;0,514;R
ES0031400000000000TF0F;09/01/2024;18;0,996;R
ES0031400000000000TF0F;09/01/2024;19;0,78;R
ES0031400000000000TF0F;09/01/2024;20;0,935;R
ES0031400000000000TF0F;09/01/2024;21;0,837;R
ES0031400000000000TF0F;09/01/2024;22;0,827;R
ES0031400000000000TF0F;09/01/2024;23;0,487;R
ES0031400000000000TF0F;09/01/2024;24;0,499;R
ES0031400000000000TF0F;10/01/2024;1;0,367;R
ES0031400000000000TF0F;10/01/2024;2;0,416;R
ES0031400000000000TF0F;10/01/2024;3;0,246;R
ES0031400000000000TF0F;10/01/2024;4;0,289;R
ES0031400000000000TF0F;10/01/2024;5;0,491;R
ES0031400000000000TF0F;10/01/2024;6;0,374;R
ES0031400000000000TF0F;10/01/2024;7;0,363;R
ES0031400000000000TF0F;10/01/2024;8;0,624;R
ES0031400000000000TF0F;10/01/2024;9;0,417;R
ES0031400000000000TF0F;10/01/2024;10;0,875;R
ES0031400000000000TF0F;10/01/2024;11;0,851;R
ES0031400000000000TF0F;10/01/2024;12;0,956;R
ES0031400000000000TF0F;10/01/2024;13;0,747;R
ES0031400000000000TF0F;10/01/2024;14;0,988;R
ES0031400000000000TF0F;10/01/2024;15;0,424;R
ES0031400000000000TF0F;10/01/2024;16;0,456;R
ES0031400000000000TF0F;10/01/2024;17;0,579;R
ES0031400000000000TF0F;10/01/2024;18;0,903;R
ES0031400000000000TF0F;10/01/2024;19;0,771;R
ES0031400000000000TF0F;10/01/2024;20;0,736;R
ES0031400000000000TF0F;10/01/2024;21;0,967;R
ES0031400000000000TF0F;10/01/2024;22;0,774;R
ES0031400000000000TF0F;10/01/2024;23;0,378;R
ES0031400000000000TF0F;10/01/2024;24;0,386;R
ES0031400000000000TF0F;11/01/2024;1;0,326;R
ES0031400000000000TF0F;11/01/2024;2;0,375;R
ES0031400000000000TF0F;11/01/2024;3;0,357;R
ES0031400000000000TF0F;11/01/2024;4;0,48;R
ES0031400000000000TF0F;11/01/2024;5;0,261;R
ES0031400000000000TF0F;11/01/2024;6;0,415;R
ES0031400000000000TF0F;11/01/2024;7;0,272;R
ES0031400000000000TF0F;11/01/2024;8;0,519;R
ES0031400000000000TF0F;11/01/2024;9;0,602;R
ES0031400000000000TF0F;11/01/2024;10;0,79;R
ES0031400000000000TF0F;11/01/2024;11;0,795;R
ES0031400000000000TF0F;11/01/2024;12;0,926;R
ES0031400000000000TF0F;11/01/2024;13;0,722;R
ES0031400000000000TF0F;11/01/2024;14;0,837;R
ES0031400000000000TF0F;11/01/2024;15;0,7;R
ES0031400000000000TF0F;11/01/2024;16;0,699;R
ES0031400000000000TF0F;11/01/2024;17;0,422;R
ES0031400000000000TF0F;11/01/2024;18;0,764;R
ES0031400000000000TF0F;11/01/2024;19;0,78;R
ES0031400000000000TF0F;11/01/2024;20;0,98;R
ES0031400000000000TF0F;11/01/2024;21;0,964;R
ES0031400000000000TF0F;11/01/2024;22;0,964;R
ES0031400000000000TF0F;11/01/2024;23;0,311;R
ES0031400000000000TF0F;11/01/2024;24;0,247;R
ES0031400000000000TF0F;12/01/2024;1;0,45;R
ES0031400000000000TF0F;12/01/2024;2;0,411;R
ES0031400000000000TF0F;12/01/2024;3;0,384;R
ES0031400000000000TF0F;12/01/2024;4;0,496;R
ES0031400000000000TF0F;12/01/2024;5;0,396;R
ES0031400000000000TF0F;12/01/2024;6;0,202;R
ES0031400000000000TF0F;12/01/2024;7;0,445;R
ES0031400000000000TF0F;12/01/2024;8;0,49;R
ES0031400000000000TF0F;12/01/2024;9;0,599;R
ES0031400000000000TF0F;12/01/2024;10;0,982;R
ES0031400000000000TF0F;12/01/2024;11;0,74;R
ES0031400000000000TF0F;12/01/2024;12;0,735;R
ES0031400000000000TF0F;12/01/2024;13;0,732;R
ES0031400000000000TF0F;12/01/2024;14;0,866;R
ES0031400000000000TF0F;12/01/2024;15;0,482;R
ES0031400000000000TF0F;12/01/2024;16;0,581;R
ES0031400000000000TF0F;12/01/2024;17;0,615;R
ES0031400000000000TF0F;12/01/2024;18;0,761;R
ES0031400000000000TF0F;12/01/2024;19;0,89;R
ES0031400000000000TF0F;12/01/2024;20;0,779;R
ES0031400000000000TF0F;12/01/2024;21;0,847;R
ES0031400000000000TF0F;12/01/2024;22;0,972;R
ES0031400000000000TF0F;12/01/2024;23;0,454;R
ES0031400000000000TF0F;12/01/2024;24;0,228;R
ES0031400000000000TF0F;13/01/2024;1;0,327;R
ES0031400000000000TF0F;13/01/2024;2;0,283;R
ES0031400000000000TF0F;13/01/2024;3;0,201;R
ES0031400000000000TF0F;13/01/2024;4;0,431;R
ES0031400000000000TF0F;13/01/2024;5;0,391;R
ES0031400000000000TF0F;13/01/2024;6;0,279;R
ES0031400000000000TF0F;13/01/2024;7;0,422;R
ES0031400000000000TF0F;13/01/2024;8;0,366;R
ES0031400000000000TF0F;13/01/2024;9;0,328;R
ES0031400000000000TF0F;13/01/2024;10;0,503;R
ES0031400000000000TF0F;13/01/2024;11;0,523;R
ES0031400000000000TF0F;13/01/2024;12;0,765;R
ES0031400000000000TF0F;13/01/2024;13;0,771;R
ES0031400000000000TF0F;13/01/2024;14;0,664;R
ES0031400000000000TF0F;13/01/2024;15;0,45;R
ES0031400000000000TF0F;13/01/2024;16;0,375;R
ES0031400000000000TF0F;13/01/2024;17;0,244;R
ES0031400000000000TF0F;13/01/2024;18;0,538;R
ES0031400000000000TF0F;13/01/2024;19;0,592;R
ES0031400000000000TF0F;13/01/2024;20;0,77;R
ES0031400000000000TF0F;13/01/2024;21;0,739;R
ES0031400000000000TF0F;13/01/2024;22;0,758;R
ES0031400000000000TF0F;13/01/2024;23;0,47;R
ES0031400000000000TF0F;13/01/2024;24;0,263;R
ES0031400000000000TF0F;14/01/2024;1;0,275;R
ES0031400000000000TF0F;14/01/2024;2;0,231;R
ES0031400000000000TF0F;14/01/2024;3;0,434;R
ES0031400000000000TF0F;14/01/2024;4;0,465;R
ES0031400000000000TF0F;14/01/2024;5;0,322;R
ES0031400000000000TF0F;14/01/2024;6;0,386;R
ES0031400000000000TF0F;14/01/2024;7;0,246;R
ES0031400000000000TF0F;14/01/2024;8;0,479;R
ES0031400000000000TF0F;14/01/2024;9;0,459;R
ES0031400000000000TF0F;14/01/2024;10;0,793;R
ES0031400000000000TF0F;14/01/2024;11;0,743;R
ES0031400000000000TF0F;14/01/2024;12;0,764;R
ES0031400000000000TF0F;14/01/2024;13;0,507;R
ES0031400000000000TF0F;14/01/2024;14;0,721;R
ES0031400000000000TF0F;14/01/2024;15;0,3;R
ES0031400000000000TF0F;14/01/2024;16;0,479;R
ES0031400000000000TF0F;14/01/2024;17;0,441;R
ES0031400000000000TF0F;14/01/2024;18;0,759;R
ES0031400000000000TF0F;14/01/2024;19;0,743;R
ES0031400000000000TF0F;14/01/2024;20;0,58;R
ES0031400000000000TF0F;14/01/2024;21;0,736;R
ES0031400000000000TF0F;14/01/2024;22;0,532;R
ES0031400000000000TF0F;14/01/2024;23;0,462;R
ES0031400000000000TF0F;14/01/2024;24;0,458;R
ES0031400000000000TF0F;15/01/2024;1;0,267;R
ES0031400000000000TF0F;15/01/2024;2;0,445;R
ES0031400000000000TF0F;15/01/2024;3;0,338;R
ES0031400000000000TF0F;15/01/2024;4;0,292;R
ES0031400000000000TF0F;15/01/2024;5;0,439;R
ES0031400000000000TF0F;15/01/2024;6;0,268;R
ES0031400000000000TF0F;15/01/2024;7;0,207;R
ES0031400000000000TF0F;15/01/2024;8;0,458;R
ES0031400000000000TF0F;15/01/2024;9;0,498;R
ES0031400000000000TF0F;15/01/2024;10;0,959;R
ES0031400000000000TF0F;15/01/2024;11;0,99;R
ES0031400000000000TF0F;15/01/2024;12;0,784;R
ES0031400000000000TF0F;15/01/2024;13;0,892;R
ES0031400000000000TF0F;15/01/2024;14;0,82;R
ES0031400000000000TF0F;15/01/2024;15;0,694;R
ES0031400000000000TF0F;15/01/2024;16;0,561;R
ES0031400000000000TF0F;15/01/2024;17;0,682;R
ES0031400000000000TF0F;15/01/2024;18;0,735;R
ES0031400000000000TF0F;15/01/2024;19;0,991;R
ES0031400000000000TF0F;15/01/2024;20;0,754;R
ES0031400000000000TF0F;15/01/2024;21;0,989;R
ES0031400000000000TF0F;15/01/2024;22;0,78;R
ES0031400000000000TF0F;15/01/2024;23;0,233;R
ES0031400000000000TF0F;15/01/2024;24;0,33;R
ES0031400000000000TF0F;16/01/2024;1;0,419;R
ES0031400000000000TF0F;16/01/2024;2;0,294;R
ES0031400000000000TF0F;16/01/2024;3;0,382;R
ES0031400000000000TF0F;16/01/2024;4;0,353;R
ES0031400000000000TF0F;16/01/2024;5;0,316;R
ES0031400000000000TF0F;16/01/2024;6;0,373;R
ES0031400000000000TF0F;16/01/2024;7;0,276;R
ES0031400000000000TF0F;16/01/2024;8;0,613;R
ES0031400000000000TF0F;16/01/2024;9;0,401;R
ES0031400000000000TF0F;16/01/2024;10;0,978;R
ES0031400000000000TF0F;16/01/2024;11;0,862;R
ES0031400000000000TF0F;16/01/2024;12;0,916;R
ES0031400000000000TF0F;16/01/2024;13;0,923;R
ES0031400000000000TF0F;16/01/2024;14;0,901;R
ES0031400000000000TF0F;16/01/2024;15;0,509;R
ES0031400000000000TF0F;16/01/2024;16;0,421;R
ES0031400000000000TF0F;16/01/2024;17;0,599;R
ES0031400000000000TF0F;16/01/2024;18;0,799;R
ES0031400000000000TF0F;16/01/2024;19;0,794;R
ES0031400000000000TF0F;16/01/2024;20;0,954;R
ES0031400000000000TF0F;16/01/2024;21;0,916;R
ES0031400000000000TF0F;16/01/2024;22;0,79;R
ES0031400000000000TF0F;16/01/2024;23;0,293;R
ES0031400000000000TF0F;16/01/2024;24;0,323;R
ES0031400000000000TF0F;17/01/2024;1;0,321;R
ES0031400000000000TF0F;17/01/2024;2;0,289;R
ES0031400000000000TF0F;17/01/2024;3;0,238;R
ES0031400000000000TF0F;17/01/2024;4;0,326;R
ES0031400000000000TF0F;17/01/2024;5;0,482;R
ES0031400000000000TF0F;17/01/2024;6;0,403;R
ES0031400000000000TF0F;17/01/2024;7;0,471;R
ES0031400000000000TF0F;17/01/2024;8;0,585;R
ES0031400000000000TF0F;17/01/2024;9;0,49;R
ES0031400000000000TF0F;17/01/2024;10;0,864;R
ES0031400000000000TF0F;17/01/2024;11;0,7;R
ES0031400000000000TF0F;17/01/2024;12;0,786;R
ES0031400000000000TF0F;17/01/2024;13;0,829;R
ES0031400000000000TF0F;17/01/2024;14;0,874;R
ES0031400000000000TF0F;17/01/2024;15;0,596;R
ES0031400000000000TF0F;17/01/2024;16;0,539;R
ES0031400000000000TF0F;17/01/2024;17;0,533;R
ES0031400000000000TF0F;17/01/2024;18;0,764;R
ES0031400000000000TF0F;17/01/2024;19;0,842;R
ES0031400000000000TF0F;17/01/2024;20;0,97;R
ES0031400000000000TF0F;17/01/2024;21;0,939;R
ES0031400000000000TF0F;17/01/2024;22;0,751;R
ES0031400000000000TF0F;17/01/2024;23;0,225;R
ES0031400000000000TF0F;17/01/2024;24;0,355;R
ES0031400000000000TF0F;18/01/2024;1;0,39;R
ES0031400000000000TF0F;18/01/2024;2;0,301;R
ES0031400000000000TF0F;18/01/2024;3;0,446;R
ES0031400000000000TF0F;18/01/2024;4;0,425;R
ES0031400000000000TF0F;18/01/2024;5;0,402;R
ES0031400000000000TF0F;18/01/2024;6;0,267;R
ES0031400000000000TF0F;18/01/2024;7;0,26;R
ES0031400000000000TF0F;18/01/2024;8;0,407;R
ES0031400000000000TF0F;18/01/2024;9;0,473;R
ES0031400000000000TF0F;18/01/2024;10;0,843;R
ES0031400000000000TF0F;18/01/2024;11;0,955;R
ES0031400000000000TF0F;18/01/2024;12;0,722;R
ES0031400000000000TF0F;18/01/2024;13;0,824;R
ES0031400000000000TF0F;18/01/2024;14;0,889;R
ES0031400000000000TF0F;18/01/2024;15;0,458;R
ES0031400000000000TF0F;18/01/2024;16;0,609;R
ES0031400000000000TF0F;18/01/2024;17;0,548;R
ES0031400000000000TF0F;18/01/2024;18;0,773;R
ES0031400000000000TF0F;18/01/2024;19;0,897;R
ES0031400000000000TF0F;18/01/2024;20;0,702;R
ES0031400000000000TF0F;18/01/2024;21;0,925;R
ES0031400000000000TF0F;18/01/2024;22;0,931;R
ES0031400000000000TF0F;18/01/2024;23;0,232;R
ES0031400000000000TF0F;18/01/2024;24;0,328;R
ES0031400000000000TF0F;19/01/2024;1;0,253;R
ES0031400000000000TF0F;19/01/2024;2;0,487;R
ES0031400000000000TF0F;19/01/2024;3;0,355;R
ES0031400000000000TF0F;19/01/2024;4;0,215;R
ES0031400000000000TF0F;19/01/2024;5;0,275;R
ES0031400000000000TF0F;19/01/2024;6;0,455;R
ES0031400000000000TF0F;19/01/2024;7;0,337;R
ES0031400000000000TF0F;19/01/2024;8;0,64;R
ES0031400000000000TF0F;19/01/2024;9;0,6;R
ES0031400000000000TF0F;19/01/2024;10;0,996;R
ES0031400000000000TF0F;19/01/2024;11;0,879;R
ES0031400000000000TF0F;19/01/2024;12;0,985;R
ES0031400000000000TF0F;19/01/2024;13;0,967;R
ES0031400000000000TF0F;19/01/2024;14;0,884;R
ES0031400000000000TF0F;19/01/2024;15;0,616;R
ES0031400000000000TF0F;19/01/2024;16;0,551;R
ES0031400000000000TF0F;19/01/2024;17;0,649;R
ES0031400000000000TF0F;19/01/2024;18;0,864;R
ES0031400000000000TF0F;19/01/2024;19;0,969;R
ES0031400000000000TF0F;19/01/2024;20;0,923;R
ES0031400000000000TF0F;19/01/2024;21;0,842;R
ES0031400000000000TF0F;19/01/2024;22;0,778;R
ES0031400000000000TF0F;19/01/2024;23;0,274;R
ES0031400000000000TF0F;19/01/2024;24;0,391;R
ES0031400000000000TF0F;20/01/2024;1;0,43;R
ES0031400000000000TF0F;20/01/2024;2;0,356;R
ES0031400000000000TF0F;20/01/2024;3;0,388;R
ES0031400000000000TF0F;20/01/2024;4;0,282;R
ES0031400000000000TF0F;20/01/2024;5;0,223;R
ES0031400000000000TF0F;20/01/2024;6;0,286;R
ES0031400000000000TF0F;20/01/2024;7;0,282;R
ES0031400000000000TF0F;20/01/2024;8;0,296;R
ES0031400000000000TF0F;20/01/2024;9;0,362;R
ES0031400000000000TF0F;20/01/2024;10;0,542;R
ES0031400000000000TF0F;20/01/2024;11;0,569;R
ES0031400000000000TF0F;20/01/2024;12;0,708;R
ES0031400000000000TF0F;20/01/2024;13;0,712;R
ES0031400000000000TF0F;20/01/2024;14;0,519;R
ES0031400000000000TF0F;20/01/2024;15;0,322;R
ES0031400000000000TF0F;20/01/2024;16;0,363;R
ES0031400000000000TF0F;20/01/2024;17;0,325;R
ES0031400000000000TF0F;20/01/2024;18;0,562;R
ES0031400000000000TF0F;20/01/2024;19;0,626;R
ES0031400000000000TF0F;20/01/2024;20;0,771;R
ES0031400000000000TF0F;20/01/2024;21;0,675;R
ES0031400000000000TF0F;20/01/2024;22;0,709;R
ES0031400000000000TF0F;20/01/2024;23;0,457;R
ES0031400000000000TF0F;20/01/2024;24;0,43;R
ES0031400000000000TF0F;21/01/2024;1;0,314;R
ES0031400000000000TF0F;21/01/2024;2;0,202;R
ES0031400000000000TF0F;21/01/2024;3;0,306;R
ES0031400000000000TF0F;21/01/2024;4;0,426;R
ES0031400000000000TF0F;21/01/2024;5;0,456;R
ES0031400000000000TF0F;21/01/2024;6;0,486;R
ES0031400000000000TF0F;21/01/2024;7;0,326;R
ES0031400000000000TF0F;21/01/2024;8;0,424;R
ES0031400000000000TF0F;21/01/2024;9;0,364;R
ES0031400000000000TF0F;21/01/2024;10;0,681;R
ES0031400000000000TF0F;21/01/2024;11;0,566;R
ES0031400000000000TF0F;21/01/2024;12;0,566;R
ES0031400000000000TF0F;21/01/2024;13;0,631;R
ES0031400000000000TF0F;21/01/2024;14;0,509;R
ES0031400000000000TF0F;21/01/2024;15;0,301;R
ES0031400000000000TF0F;21/01/2024;16;0,404;R
ES0031400000000000TF0F;21/01/2024;17;0,321;R
